GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0006289	nucleotide-excision repair	biological_process	0.017787473	3	20	"ENSAPLT00000014118, ENSAPLT00000010641, ENSAPLT00000012566"	"FANCC, POLL, ERCC3"
GO:0030593	neutrophil chemotaxis	biological_process	0.017787473	3	20	"ENSAPLT00000009697, ENSAPLT00000005615, ENSAPLT00000013907"	"ITGA9, PDE4D, ITGA1"
GO:0009953	dorsal/ventral pattern formation	biological_process	0.018037413	4	36	"ENSAPLT00000001777, ENSAPLT00000013225, ENSAPLT00000009928, ENSAPLT00000011528"	"unknow, EDN1, CHRD, TBX20"
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	biological_process	0.018037413	4	36	"ENSAPLT00000009668, ENSAPLT00000009693, ENSAPLT00000004354, ENSAPLT00000001256"	"DAB2, RNF180, STUB1, SMAD7"
GO:0001676	long-chain fatty acid metabolic process	biological_process	0.01986006	2	8	"ENSAPLT00000005525, ENSAPLT00000005242"	"SLC27A3, SLC27A6"
GO:0003203	endocardial cushion morphogenesis	biological_process	0.01986006	2	8	"ENSAPLT00000013725, ENSAPLT00000011528"	"ISL1, TBX20"
GO:0005641	nuclear envelope lumen	cellular_component	0.01986006	2	8	"ENSAPLT00000003554, ENSAPLT00000007519"	"CACYBP, IGF2R"
GO:0006835	dicarboxylic acid transport	biological_process	0.01986006	2	8	"ENSAPLT00000015672, ENSAPLT00000007816"	"SLC1A1, SLC1A3"
GO:0042405	nuclear inclusion body	cellular_component	0.01986006	2	8	"ENSAPLT00000004354, ENSAPLT00000013371"	"STUB1, TPR"
GO:0042523	positive regulation of tyrosine phosphorylation of Stat5 protein	biological_process	0.01986006	2	8	"ENSAPLT00000004290, ENSAPLT00000012265"	"KIT, IL31RA"
GO:0048672	positive regulation of collateral sprouting	biological_process	0.01986006	2	8	"ENSAPLT00000006486, ENSAPLT00000001815"	"EFNA5, NGF"
GO:0007409	axonogenesis	biological_process	0.020526014	5	56	"ENSAPLT00000007126, ENSAPLT00000009208, ENSAPLT00000001777, ENSAPLT00000001177, ENSAPLT00000016974"	"SLITRK5, ANK3, unknow, CCK, DLX5"
GO:0016310	phosphorylation	biological_process	0.021334802	16	323	"ENSAPLT00000015410, ENSAPLT00000010829, ENSAPLT00000006987, ENSAPLT00000011317, ENSAPLT00000004290, ENSAPLT00000005923, ENSAPLT00000007925, ENSAPLT00000005954, ENSAPLT00000008197, ENSAPLT00000008254, ENSAPLT00000010372, ENSAPLT00000015405, ENSAPLT00000003660, ENSAPLT00000002477, ENSAPLT00000009893, ENSAPLT00000013286"	"PKN2, DCLK3, CKMT2, FER, KIT, KDR, PRKX, PLK2, NADK2, GRK5, PIK3C2G, PRKD1, unknow, ZAP70, GAK, PRKAA1"
GO:0007155	cell adhesion	biological_process	0.02269279	11	195	"ENSAPLT00000009697, ENSAPLT00000011317, ENSAPLT00000006449, ENSAPLT00000010288, ENSAPLT00000016418, ENSAPLT00000003494, ENSAPLT00000015832, ENSAPLT00000003489, ENSAPLT00000007925, ENSAPLT00000011974, ENSAPLT00000013907"	"ITGA9, FER, THBS4, unknow, RPSA, PARVG, CDH11, PARVG, PRKX, CDH20, ITGA1"
GO:0001772	immunological synapse	cellular_component	0.023054241	3	22	"ENSAPLT00000012154, ENSAPLT00000012376, ENSAPLT00000002477"	"CORO1A, PDCD6IP, ZAP70"
GO:0004222	metalloendopeptidase activity	molecular_function	0.024126703	7	101	"ENSAPLT00000002531, ENSAPLT00000002772, ENSAPLT00000008244, ENSAPLT00000004766, ENSAPLT00000012849, ENSAPLT00000015181, ENSAPLT00000013128"	"ADAMTS12, ADAMTS10, ECE2, ADAMTS19, MMP23B, BMP1, PHEX"
GO:0001516	prostaglandin biosynthetic process	biological_process	0.025063072	2	9	"ENSAPLT00000014480, ENSAPLT00000013225"	"PTGS2, EDN1"
GO:0004467	long-chain fatty acid-CoA ligase activity	molecular_function	0.025063072	2	9	"ENSAPLT00000005525, ENSAPLT00000005242"	"SLC27A3, SLC27A6"
GO:0005313	L-glutamate transmembrane transporter activity	molecular_function	0.025063072	2	9	"ENSAPLT00000015672, ENSAPLT00000007816"	"SLC1A1, SLC1A3"
GO:0008157	protein phosphatase 1 binding	molecular_function	0.025063072	2	9	"ENSAPLT00000011317, ENSAPLT00000013146"	"FER, PHACTR1"
GO:0031290	retinal ganglion cell axon guidance	biological_process	0.025063072	2	9	"ENSAPLT00000013725, ENSAPLT00000006486"	"ISL1, EFNA5"
GO:0035066	positive regulation of histone acetylation	biological_process	0.025063072	2	9	"ENSAPLT00000013725, ENSAPLT00000006058"	"ISL1, ARRB1"
GO:0043149	stress fiber assembly	biological_process	0.025063072	2	9	"ENSAPLT00000013146, ENSAPLT00000006058"	"PHACTR1, ARRB1"
GO:0046427	positive regulation of JAK-STAT cascade	biological_process	0.025063072	2	9	"ENSAPLT00000004290, ENSAPLT00000001014"	"KIT, F2R"
GO:0048193	Golgi vesicle transport	biological_process	0.025063072	2	9	"ENSAPLT00000015405, ENSAPLT00000005433"	"PRKD1, VPS41"
GO:0060413	atrial septum morphogenesis	biological_process	0.025063072	2	9	"ENSAPLT00000013725, ENSAPLT00000011528"	"ISL1, TBX20"
GO:0089711	L-glutamate transmembrane transport	biological_process	0.025063072	2	9	"ENSAPLT00000015672, ENSAPLT00000007816"	"SLC1A1, SLC1A3"
GO:0003007	heart morphogenesis	biological_process	0.025640773	4	40	"ENSAPLT00000013725, ENSAPLT00000014702, ENSAPLT00000014588, ENSAPLT00000001516"	"ISL1, MKL2, TTN, FLRT2"
